Supplier,Company name,Street Address,City,State,Country,Zip,Phone,Email,Attachments,Open Balance
APOLLO BRICK,Apollo Brick,"P.O. Box 6061
Birchleigh
1621

Attn: Natasha Peters",,,,,011 848 2000,abgrep@apollobrick.com,0,0.00
ARCHITECTURAL HARDWARE,Architectural Hardware,"474 Main Reef Road,
Denver",Johannesburg,,South Africa,,011 622 7246,,0,0.00
ARISEN SOLAR,Arisen Solar Technologies,"215 Monument Road
Glen Marais 
Kempton Park

Att        : Herman Steyn
Tel        : 066 486 7657",,,,,066 486 7657,,0,0.00
AVENGE INFRACET,Avenge Manufacturing (Infracet),"Samrand Road
The Reeds",Centurion,,South Africa4,,012 652 0000,,0,0.00
BCX,Business Connexion (PTY) Ltd,"Private Bag X48
Halfway House",,,South Africa,1685,011 695 5300,,0,0.00
BITCON,Bitcon Specialised Doors,"9 Jansen Road
Jet Park",Boksburg,,South Africa,,011 823 1238,sean@bitcon.co.za,0,0.00
BOARD & TIMBER Tr,Board and Timber Traders (,"5 Bundu Road
Sebenze",Edenvale,,South Africa,1609,011 609 9720,corinne@boardandtimbers.co.za,0,0.00
BRITS NONWOVEN,Brits Nonwoven,"69 Pomona Road
Pomona
Kempton Park

Attn    : Thandeka Sikhakhane
Tel       : 011 979 12195
Email  : Jhb@brits.co.za",,,,,011 979 1195,Jhb@brits.co.za,0,0.00
BUCHEL,Buchel Handles Hinges & Locks,"Warehouse E, Guernsey Business Park North, 
11 Saltus St, 
Pierre van Ryneveld Park,
Centurion

Att      : Rudie Gericke
Tel      : 012 300 2700
Email : rgericke@buchel.co.za",,,,,012 300 2700,rgericke@buchel.co.za,0,0.00
BUCO -Inland,Buco Inland,"C/O Beyers Naude & Juice Streets
Honeydew

Attn: Elon Oelofse
Cell: 062 426 5420
Email: eoelofse@buco.co.za",,,,,011 795 3733,eoelofse@buco.co.za,0,0.00
BUCO -Rietpan,Buco Rietpan,"26 Great North Road
Rietpan -66lr

Attn: Elon Oelofse",Benoni,,South Africa,1501,011 571 6400,eoelofse@buco.co.za,0,0.00
BUILD IT -Kriel,Build It (Kriel),"Shop 1, Megamark Mall
Bronwyn Street",Kriel,,South Africa,2271,017 645 5236,info@krielbuildit.co.za,0,0.00
BUILDERS WAREHOUSE -Boksburg,Builders Warehouse,"Cnr North Rand & Monte Christo Rds
Beyers Park",Boksburg,,South Africa,1459,,kabelo.mmuoe@builders.co.za,0,0.00
C4 DIRECT,C4 Direct Display Marketing,"Unit A9, Northriding Commercial P,
Cnr Malibongwe Dr & Epsom Ave",,,South Africa,Northriding,011 705 3199,,0,0.00
CANDID BABY,Candid Baby,"Fabriek Street
Strijdom Park",Randburg,,South Africa,2169,,reception@candidbaby.co.za,0,0.00
CDS -Edenvale,CDS Edenvale,"Unit 7B, Meadowdale Park, 
Dick Kemp St
Edenvale
1610

Attn   : Devan Subramoney
Tell     : 011 028 2399
Email : edenvalesales@cdsupplies.co.za",,,,,011 028 2399,edenvalesales@cdsupplies.co.za,0,0.00
CERAGRAN,Ceragran (PTY) Ltd,273 Rose-etta Street,Pretoria West,,South Africa,,012 627 2414,wendyp@ceragran.co.za,0,0.00
CHAMBERLAIN -Centurion,FH Chamerlain (Centurion),"Cnr Old Johannesburg Rd & Magiel Str
Hennopspark",Centurion,,South Africa,0157,012 653 9600,hennieB@fhchamberlain.co.za,0,0.00
CHAMBERLAIN -Kyalami,FH Chamberlain Kyalami,"87 Hawthorne Rd, 
Kyalami, 
Midrand, 
1684

Attn     : Nicholas Juby
Tell      :  010 447 1903
Email  : kyaspecials01@fhchamberlain.co.za",,,,,010 447 1903,,0,0.00
CHAMBERLAIN -Montana,FH Chamberlain (Montana),"Cnr Dr Swanepoel & 3rd Ave
Montana",Pretoria,,South Africa,0182,012 523 0400,,0,0.00
CHAMBERLAIN -Randburg,FH Chamberlain (Randburg),265 Fabriek Street,Randburg,,South Africa,,011 699 7560,salesrandburg@fhchamberlain.co.za,0,0.00
CHAMBERLAIN -Strubens Valley,FH Chamberlain (Strubens Valley),Cnr Hendrik Potgieter Str & Jim Fouche Rd,Strubens Valley,,South Africa,,010 446 1903,,0,0.00
CHAMBERLAIN -Waltloo,FH Chamberlain (Waltloo),"341 Zasm Street
Waltloo",Pretoria,,South Africa,0184,,,0,0.00
COASTAL HIRE -Kempton Park,Coastal Hire (Kempton Park),P.O. Box 7265,Kempton Park,,,,011 979 4848,,0,0.00
COD,,,,,,,,,0,0.00
COLDSTAR,Coldstar Refrigeration cc,"3 Rana Rd, 
Isipingo Rail,",Isipingo,,South Africa,4110,031 902 8115,dd@coldstar.co.za,0,0.00
CONTAINER WORLD -Durban,Container World,"72 Gillitts Road
Westmead",Durban,,South Africa,3608,031-825 6641,zenzele@containerworld.co.za,0,0.00
CONTAINER WORLD -Kempton Park,Container Worls,"Spartan,","Kempton Park,",,,1619,011 392 1284,info@containerworld.co.za,0,0.00
CONTAINER WORLD -Nelspruit,Container World,"3 Bosch Street
Nelspruit Industrial Park",Nelspruit,,South Africa,1200,013 755 1719,drikus@containerworld.co.za,0,0.00
CONTAINER WORLD -Port Elizabeth,Container World,"GM Building, Kempston Road
Sidwell",Gqeberha,,South Africa,6056,041-486 1507,mandyt@containerworld.co.za,0,0.00
CONTRACT HARDWARE,Contract Hardware (PTY) Ltd,"Cnr Robyn and Raebor Roads, 
Benrose
Gauteng,",Johannesburg,,South Africa,2094,011 624 3535,philip@contractgroup.co.za,0,0.00
COROBRICK -Edenvale,Corobrick (PTY) Ltd,"Dick Kemp St, 
Meadowdale

Attn: Claudette Khoza
Tel: 011 871 8600
Email: claudette.khoza@corobrik.co.za",,,,,011 871 8640,claudette.khoza@corobrik.co.za,0,0.00
COSTA LAMBRIANOS,Costa Lambrianos,"Gewel Street
Isando, Kempton Park",Johannesburg,,South Africa,1609,011 315 3402,terri@c-l.co.za,0,0.00
CUBICLE SOLUTIONS,Cubicle Solutions,"Unit 2, Lakeview Industrial Park, Malcolm Moodie Crescent, Jet Park",Boksburg,,South Africa,,086 100 0451,jhbsales@cubiclesolutions.co.za,0,0.00
DATA MATRIX,Data Matrix,"18 Lakeside Pl, Kleinfontein,",Benoni,,South Africa,1500,011 740 2282,chantel@datamatrix.co.za,0,0.00
DOOR SOLUTIONS,Door Solutions cc,"6 Stork Street
Tedstone Ville
Germiston, 1428

Attn   : Rob
Tel      : 011 827-8324
Email : robert@doorsolutionscc.com",,,,,011 827 8324,,0,0.00
DULUX,Dulux Kempton Park,"1 Eland Street
Aston Manor
Kempton Park


Attn : Juan Mostert",,,,,(011) 972 7728,duluxkempton1@gmail.com,0,0.00
East Rand Fire Extinguisher Services & Sales Pty Ltd,,"71 West St, Kempton Park Cbd, Kempton Park, 1620",,,,,011 975 6224,admin@eastrandfire.co.za,0,0.00
EGA,EGA Glass & Aluminium,"Unit 2 Wydan Business Park, 
Road No 5 
Kempton Park 1501",,,,,011 973 4268,,0,0.00
FAST FORWARD,Fast Forward Packaging,"U9 1 Hamburg Road
Apex
Benoni 1501

Attn   : Kevin Russel
Tell     : 061 478 3971
Email : fastforwardpack@gmail.com",,,,,,info@fastforwardpackaging.co.za,0,0.00
GRS Isando,Global Roofing Isando,"Corner Barlow Road and Quality Rd
Isando
Kempton Park, 1600

Att     : Yvonne
Tel     : 011 898 2900
Email: yvonner@globalroofs.co.za",,,,,011 898 2900,yvonner@globalroofs.co.za,0,0.00
HILTI,Hilti (PTY) Ltd,Corner of Bridal Veil Road R101,Jukskei View,,South Africa,2090,011 237 3000,Caretha.Haas@hilti.com,0,0.00
JOLUKA,Joluka Projects (PTY) Ltd,"394 Roan Crescent
Corporate Park North
Midrand",,,,,011 314 0795,reception@joluka.co.za,0,0.00
KB SAFETY,KB Safety & Ind Supplies (PTY) Ltd,"5th Avenue
Northmead
Benoni

Attn: Mariska Swannepoel",,,,,011 425 2314,mariska@kbsafety.co.za,0,0.00
Kwikspace Kroonval,Kwikspace,"32 Karee Kloof Rd, Waterval, Klipriver",,,,,,Nthabiseng.Hartvig@kwikspace.co.za,0,0.00
LEOCOR,Leocor Doors & Projects,124 Vende Street,Brakpan,,,,061 479 5884,leon@leocordoors.co.za,0,0.00
Leon  / Angelique Mathee,24/7 Projects & Fabrication (PTY) Ltd,,,,,,083-400-7537 (Leon),admin@247projects.co.za,0,0.00
MAPLE STREET TIMBERS,Maple Street Timbers,"51 Maple Rd, 
Pomona
Kempton Park
1619

Attn   : Candice
Tel      : 011 979 4459
Email : candice@mstimbers.co.za",,,,,011 979 4459,candice@mstimbers.co.za,0,0.00
METAL LAND,Baldwins Metal Land Spartan,"92 Plane Rd
Spartan
Johannesburg, 1620

Attn    : Ashton Andrews
Tell     :  011 394 8418 (ext 110)
Email : asha@mlspartan.co.za",,,,,011 394 8418,,0,0.00
METIER,Metier Mixed Concrete,"28 1st Rd
Bredell AH
 Kempton Park
1619

Attn: Clement Dadabela",,,,,010 006 0220,Clement.Dadabela@metiersa.co.za,0,0.00
Metro File,,"3 Gowie Road, The Gables, Cleveland, Gauteng, 2022 . Att Stella",,,,,,stellak@metrofile.co.za,0,0.00
OCC Fabrication,OCC Fabrication,"Unit No.1, Wydan Business Park
No.58, Road No.5
Brentwood Park",Benoni,,,,,,0,0.00
P&H,Protective Plaster Systems,"41 Pomona Road
Pomona
Kempton Park

Att: NICOLAS JONISCHKEIT",,,,,011 979 3319,nicolas@phrocklite.co.za,0,0.00
Parys Skips,Parys Skips,Plaas Rushoek Parys,,,,,,andrebyleveld12@gmail.com,0,0.00
PERI,Peri Formwork,"Cnr PERI Bloulevard & Tlokwa Street
Louwlardia
Centurion, Gauteng

Att      : Martina McDonald
Tel      : 011 729 2300
Email : martina.mcdonald@peri.co.za",,,,,011 729 2300,martina.mcdonald@peri.co.za,0,0.00
PLASCON-DIY,DIY Depot Savoy,"580 Louis Botha Ave
Savoy Estate
Johannesburg 
2018

Attn   : Casper / Arthur
Tell     : 011 440 9834
Email : sales@savoy.diydepot.co.za",,,,,011 440 9834,sales@savoy.diydepot.co.za,0,0.00
PLASCON-K,Kansai Plascon (PTY) Ltd,"5 Delphi Street
Eastgate, Molboro,
Sandton

Attn: Sias Meyer
Cell: 083 625 6301
Email: smeyer@kansaiplascon.co.za",,,,,,smeyer@kansaiplascon.co.za,0,0.00
PROFILE DOORS,Profile Doors CC,"7 Chrislou Crescent
Alberton, 
1449",,,,,011 865 5330/3,sales2@profiledoors.co.za,0,0.00
PSS,Print and Sinage Solutions Pty Ltd,32 Jones Street Parow East Cape Town 7501,Cape town,,,7501,0814545572,Marnus@printandsignage.co.za,0,0.00
RMS,Reinforcing & Mesh Solutions,"30 North Reef Road
Elandsfontein

Att       : Chanel Hamiel
Tel       : 011 878 6820
E-Mail : chanelh@rms-sa.co.za",,,,,011 878 6820,chanelh@rms-sa.co.za,0,0.00
ROBEX SA,Robex SA,"53 Michelson Road
Beyers Park Ext.
Boksburg
1460


Att      : Kyla Schotemeyer
Tel      : 079 534 2972
Email : kayla@robox.co.za",,,,,079 534 2972,kayla@robex.co.za,0,0.00
ROYAL GLASS,Royal Glass,"25 Dann rd Glen Marais KP

Attn: Trudie",,,,,010 285 0300,royalglass@wol.co.za,0,0.00
RUBBERPROOF,Rubberproof,"70 Forrest Road Rd
Benoni AH",Benoni,Freddie : 0827133094,South Africa,1509,,alicia@rubberproof.co.za,0,0.00
SIGN CRAFT,Sign Craft Africa,"1262 Anvil Road,
Robertville,
Johannesburg

Attn   : Grant Cachia
Tel      : 083 453 4202
Email : grant.cachia@signcraftafrica.co.za",,,,,011 474 1315,grant.cachia@signcraftafrica.co.za,0,0.00
Skip Minions,Skip Minions,16 Felicia Street Northvilla Benoni,Benoni,Gauteng,0833266110,Att Phillip,,philip@skipminions.co.za,0,0.00
SKIP THE LOT,Skip the lot,"3 Vesta Court
Brakpan",,,,,,louispiek13@gmail.com,0,0.00
Skipgo Teksa (Pty) Ltd,,"10 Tamboti Street, Hidbiscus Place, Terra Nova, trichardt, 2300, ATT: Coen,  082 460 8426",,,,,,teksa@skipgo.co.za,0,0.00
SSAB SA,SSAB Special Steels,"2A Rail Rd
Roodekop
Germiston, 1401

Att     : Willem Van Zyl
Tel     : 011 724 5000
Email: willem.van.zyl@ssab.com",,,,,011 724 5000,,0,0.00
SUPERTEC,Supertec Ceilings & Board,"20 Weyers Road
Alrode South",Alberton,,,,011 868 4901,anitaj@supertecceilings.co.za,0,0.00
TAC PRODUCTS,T.A.C. Products (PTY) Ltd,"46 Lower Germiston Rd
Heriotdale

Att: Ryan Moreng
Tell: 086 165 4390
Email: sales@tacproducts.co.za",,,,,,sales@tacproducts.co.za,0,0.00
TERMICON,Termicon (PTY) Ltd,"24 Klopper Road,
Pierre van Ryneveld,
Centurion,
Pretoria",,,,,,gm@termicon.co.za,0,0.00
The Paint Express,,"99 Bullion Blvd, CBD, Richards Bay, 3900",Richardsbay,,KwaZulu-Natal,,0357897492,sales@Multipaints.co.za,0,0.00
TILE AFRICA,Tile Africa (Pty) Ltd,"12 Pomona Rd, Pomona AH,
Kempton Park
1619

Attn   : Pauline Mclaughlin
Tell     :  011 979 0327
Email : pauline@tileafrica.co.za",,,,,011 979 0339,pauline@tileafrica.co.za,0,0.00
TILE HOUSE,Tile House,"122 Marine Drive
Paarden Eiland
Cape Town Western Cape, 7405",,,,,021 506 3020,dnaidoo@tilehouse.co.za,0,0.00
TOSS 'n TIP,Toss 'n Tip Waste Services,"Postnet Suite 135
Private bag x 2",Ruimsig,,South Africa,1732,,ben@tossntip.co.za,0,0.00
UNION TILES Bedfordview,Union Tiles,"19 North Reef Road
Bedfordview East

Att      : Michael Botha
Tel      : 011 663 2000
Email : michael@uniontiles.co.za",,,,,011 663 2000,michael@uniontiles.co.za,0,0.00
VERSUS PAINT,Versus Paint Specialists,"704-706 6th St, 
Wynberg,",Sandton,,,2090,011 885 3136,Jenene@versuspaint.co.za,0,0.00
VULCANIA,Vulcania Reinforcing Solutions,"6 Jansen Road
Nuffield
Springs


Att: Shevaun Viljoen",,,,,011 817 1402,Shevaun@vulcania.co.za,0,0.00
WOODCENTRE,Timber & Bords Express cc,"Off Marlboro Dr, 
33 15th St, 
Eastgate Gardens,",Johannesburg,,South Afrika,,011 262 2662,MarkH@woodcentre.co.za,0,0.00
WOODNETIC,Woodnetic Innovations,"No.9 Dusseldorf Rd -Unit 4
Apex Industrial",Benoni,,South Africa,1465,,les@woodnetic.co.za,0,0.00
WURTH,Wurth South Africa (PTY) Ltd,"Plumbago Business Park
Spier Road
Glen Erasmia X17
Kempton Park
1619

Attn   : Yash Seecharan
Tell     : 065 889 4435 
Email : yash.wurth@gmail.com",,,,,011 281 1000,yash.wurth@gmail.com,0,0.00
